p_beat_cv,p_view_over,ai,ref,m,apparent,true,diff,mcse_diff
0.05,True,independent,adj_tol3,mae,1.9942712638263231,1.5951554972721202,0.39911576655420256,0.002228931036266916
0.05,True,independent,mean2,icc,0.8575917878724026,0.9082230434126158,-0.05063125554021338,0.0003063470713054562
0.05,True,independent,mean2,loa_width,9.752141891852789,7.829115727745204,1.923026164107585,0.019616992064930346
0.05,True,independent,mean2,mae,1.9909232279043239,1.5951554972721202,0.3957677306322034,0.00219386380827169
0.05,True,independent,single,icc,0.8483728699814685,0.9082230434126158,-0.05985017343114737,0.00036577587414711996
0.05,True,independent,single,loa_width,10.122149919957291,7.829115727745204,2.2930341922120867,0.02098482134489308
0.05,True,independent,single,mae,2.0659049352070795,1.5951554972721202,0.47074943793495916,0.0026046489449980145
0.05,True,inherited,adj_tol1,icc,0.849305550237158,0.9045978908561226,-0.055292340618964424,0.0003463718705362375
0.05,True,inherited,adj_tol1,loa_width,9.903095661072037,7.853290262259499,2.0498053988125355,0.021080304358461165
0.05,True,inherited,adj_tol1,mae,2.021325798505571,1.6013726491566858,0.41995314934888517,0.0024571355189654492
0.05,True,inherited,adj_tol2,icc,0.8521261963960912,0.9045978908561226,-0.05247169446003133,0.0003219394543077935
0.05,True,inherited,adj_tol2,loa_width,9.792156694891236,7.853290262259499,1.9388664326317362,0.020446627801354547
0.05,True,inherited,adj_tol2,mae,1.998007781295505,1.6013726491566858,0.39663513213881935,0.002315989354621242
0.05,True,inherited,adj_tol3,icc,0.8533190583464507,0.9045978908561226,-0.05127883250967186,0.0003125791160170184
0.05,True,inherited,adj_tol3,loa_width,9.748971286622776,7.853290262259499,1.895681024363277,0.019872211031523743
0.05,True,inherited,adj_tol3,mae,1.9886601567109363,1.6013726491566858,0.3872875075542504,0.0022300208741778036
0.05,True,inherited,mean2,icc,0.8539016917561253,0.9045978908561226,-0.05069619909999743,0.0003085166673741463
0.05,True,inherited,mean2,loa_width,9.732366871043823,7.853290262259499,1.8790766087843231,0.019669411050555204
0.05,True,inherited,mean2,mae,1.985410393082344,1.6013726491566858,0.384037743925658,0.0021946581671681313
0.05,True,inherited,single,icc,0.8444491759578527,0.9045978908561226,-0.060148714898269895,0.00037002078213459704
0.05,True,inherited,single,loa_width,10.102838119636226,7.853290262259499,2.249547857376726,0.02105081609076768
0.05,True,inherited,single,mae,2.0605344788404314,1.6013726491566858,0.4591618296837455,0.0026065183723047542
0.1,False,independent,adj_tol1,icc,0.8556131998756983,0.908603093424638,-0.05298989354893982,0.00032775614508919273
